the	11100000100110000011100001	2178
,	111000001001100000111101011	2021
.	1110000010011011011100	1786
of	1110000010011000001110000001	1027
to	1110000010011000001000011	1004
a	111000001001100000101100	876
and	1110000010011000001111001011	862
in	1110000010011000001111001110	804
``	11100000100110000010101000011	450
's	111000001001100000111011101	443
that	111000001001100000100110	426
said	1110000010011000001010100000	410
for	111000001001100000111100010	367
The	1110000010011000001111111	349
on	111000001001100000111011000	309
was	11100000100110000011101011	291
with	111000001001100001000010	241
is	11100000100110000010100110	236
,''	11100000100110000010101000010	221
by	1110000010011000001110010001	213
he	11100000100110000010101001111000	210
his	11100000100110010100	201
it	111000001001100000101010111	192
_	11100000100110000011100011100	189
has	1110000010011001101	183
at	11100000100111000100	175
as	1110000010011000001110010011	174
have	11100000100110000011110010000	171
;	11100000100100010101110111	169
an	11100000100110000011000100	168
.''	1110000010011000001010100100	156
from	1110000010011000001001110	154
were	111000001001100000111101110	152
be	11100000100110000010000011	151
not	111000001001100000100011101	126
had	1110000010011000001001011	116
will	111000001001111111	116
Bush	111000001001100000111011110001110	115
I	1110000010011000001010100111000	112
would	111000001001100000101011000	112
are	1110000010011000001111000111	110
who	11100000100110000011101111111	106
this	1110000010011000001011111	103
its	1110000010011000001000010101	98
)	11100000100110000011100011101110	98
(	11100000100110000011100011101101	94
STORY	111000001100100101100010000111011100000111001101001111001101011	91
NEWS	111000001100100101100010000111011100000111001101001111001101001	90
after	111000001001100000110110000	88
been	11100000100110011001	88
which	1110000010011000001111100	88
percent	11100000100111000001001	88
their	1110000010011000001111001000101	87
but	11100000100110000010001011	86
or	111000001001100001000101	86
about	111000001001100000101011011	81
But	1110000010011000001101001	75
they	11100000100110000011110010001001	74
year	11100000100111000000	73
AP	11100000100110000011100011101111	73
He	111000001001100000110000011	73
Gore	111000001001100000111011110001010	72
also	11100000100110000010111011	70
:	111000001001100000101010011011110	69
more	11100000100110000011100010111	69
over	11100000100110000011110100101	68
In	111000001001100010010	68
than	11100000100110000011100010110	66
people	111000001001100000111011111101	65
up	11100000100111000110	65
It	11100000100110000010100011	65
one	11100000100110000010000100000	64
''	1110000010011000001011101001	63
two	111000001001100000111101100110	63
million	1110000010011100000111001	60
last	11100000100110000011010111	60
other	111000001001100000100011111	60
some	1110000010011000001000101000	59
first	11100000100110000011001110	59
court	111000001001100000100101010	58
years	11100000100110000011100010011	57
could	11100000100110000011110100110	57
when	1110000010011000001010100111111	54
out	11100000100110000011110010001111	52
against	111000001001100000010111	51
new	1110000010011110010	50
into	111000001001100000111101010101	48
Friday	1110000010011000001100011010	48
state	11100000100110000000110	47
we	1110000010011000001010100010011	45
Monday	11100000100110101011	44
presidential	111000001001100000111011111010	43
&LR	111000001001000100	43
time	1110000010011000001010000001	42
'	111000001001100000011001111	42
government	111000001001100000111000001101	42
them	11100000100110000011110111101	42
there	111000001001100001000111	42
Milosevic	11100000100110000011100110100	41
told	1110000010011000001110011100	41
if	111000001001100000101010011110011110	41
President	1110000010011000001110111100010110	41
Texas	111000001001100000111011110000001	41
We	111000001001100000101010001011	40
him	11100000100110000010101110001	40
A	1110000010011000010000111	39
since	11100000100110000011001100	39
president	1110000010011000001110100100	39
before	111000001001100000101010001110	39
most	1110000010011000001110001000100	39
campaign	11100000100110000011101111000111110	37
election	1110000010011000000111010	37
what	1110000010011000001110101000	37
because	1110000010011000001010011101	37
week	111000001001100000110010000	36
company	111000001001100000100010001001	35
then	111000001001100000110000100111100	35
three	111000001001100001001110	35
all	11100000100110000011101101101111	35
debate	1110000010011000001110111110110	35
&QL	111000001001000101011101101000001001001111	34
just	111000001001100000100101000	34
Tuesday	1110000010011001010101	33
only	11100000100110000100110110101111	33
between	1110000010011000001110111101110	33
no	111000001001100001010111	33
say	1110000010011000001111000110001	32
still	111000001001101111110	32
did	1110000010011000001000111001	32
like	111000001001100000111100100011101001110	32
next	1110000010011000001110001000111	31
do	1110000010011000001010100111010101	31
&UR	11100000100100010101110110100000100100111000101	31
through	1110000010011000001111101110010100	31
case	11100000100110000011110000100	31
country	1110000010011000001110111000001	30
can	1110000010011000001010100110001	30
&QC	1110000010010001010111011010000010100	30
